Measurement simulation file
Simulation was performed on Mon Jan 13 16:40:29 2020
Description: k
### begin grid settings
1400.0 1100.0 0.0 1000.0 1100.0 0.0 -20.0 0.0 0.0 2.0 2 1120 1374 0 1370 1374 0 434325000.0 434620000.0 
### begin measurement data
1000.0 1200.0 0.0 -55.4878291826 -66.8034491804 1.85057623684 3.07846637951 211.366979446 408.871617993 
1020.0 1200.0 0.0 -54.824863047 -66.0782893762 1.79976833433 2.97422567025 200.688813839 390.865705838 
1040.0 1200.0 0.0 -54.2353925042 -65.3431786734 1.75610236359 2.87286203345 191.509790872 373.062997361 
1060.0 1200.0 0.0 -53.7419971767 -64.5983136305 1.72060878719 2.77438312577 184.054339802 355.494022453 
1080.0 1200.0 0.0 -53.3678503948 -63.8441599754 1.69431676806 2.6788216363 178.538511252 338.195209901 
1100.0 1200.0 0.0 -53.1336209062 -63.081561751 1.67812472061 2.58624182539 175.145653671 321.210211544 
1120.0 1200.0 0.0 -53.0537995657 -62.3118896763 1.67265321583 2.49674795825 174.0 304.591529757 
1140.0 1200.0 0.0 -53.1336209062 -61.5372409749 1.67812472061 2.41049508856 175.145653671 288.402496522 
1160.0 1200.0 0.0 -53.3678503948 -60.7607047208 1.69431676806 2.32770264459 178.538511252 272.719636257 
1180.0 1200.0 0.0 -53.7419971767 -59.9867064305 1.72060878719 2.24867113381 184.054339802 257.635401294 
1200.0 1200.0 0.0 -54.2353925042 -59.2214400328 1.75610236359 2.17380186875 191.509790872 243.261176516 
1220.0 1200.0 0.0 -54.824863047 -58.4733789086 1.79976833433 2.10361869826 200.688813839 229.730276629 
1240.0 1200.0 0.0 -55.4878291826 -57.7538218593 1.85057623684 2.03878898871 211.366979446 217.200368324 
1260.0 1200.0 0.0 -56.2042678867 -57.0773648933 1.90758263108 1.98013824708 223.329353198 205.854317419 
1280.0 1200.0 0.0 -56.9575671689 -56.4620923188 1.9699764506 1.92864888244 236.38104831 195.897932608 
1300.0 1200.0 0.0 -57.7345938908 -55.929172495 2.03709159756 1.88542982197 250.35175254 187.552659272 
1320.0 1200.0 0.0 -58.5253301219 -55.5014978809 2.10839960727 1.85164315364 265.096208951 181.041431722 
1340.0 1200.0 0.0 -59.3223427714 -55.2011559512 2.18349278065 1.82838162291 280.49242414 176.567267635 
1360.0 1200.0 0.0 -60.1202424481 -55.0459659038 2.26206450337 1.81651010786 296.438863849 174.287119432 
1380.0 1200.0 0.0 -60.9152050712 -55.0459659038 2.3438903831 1.81651010786 312.851402426 174.287119432 
1400.0 1200.0 0.0 -61.7045799568 -55.2011559512 2.42881179204 1.82838162291 329.660431353 176.567267635 
1400.0 1200.0 0.0 -61.7045799568 -55.2011559512 2.42881179204 1.82838162291 329.660431353 176.567267635 
1400.0 1180.0 0.0 -62.2078723634 -56.4877282345 2.48494738792 1.93075980382 340.640573039 196.305883763 
1400.0 1160.0 0.0 -62.7375334269 -57.6888602332 2.54576090301 2.0330615618 352.414528645 216.092572755 
1400.0 1140.0 0.0 -63.2888580103 -58.8188521652 2.61101505147 2.13567065282 364.90546721 235.915239016 
1400.0 1120.0 0.0 -63.8577177631 -59.8887530916 2.68050386752 2.23890961023 378.042325673 255.765517613 
1400.0 1100.0 0.0 -64.440543825 -60.9072599795 2.7540528171 2.3430545318 391.760130692 275.63744303 
1400.0 1100.0 0.0 -64.440543825 -60.9072599795 2.7540528171 2.3430545318 391.760130692 275.63744303 
1380.0 1100.0 0.0 -63.8440933986 -60.8343002654 2.67881337872 2.33539620857 377.724767523 274.182421027 
1360.0 1100.0 0.0 -63.2600623806 -60.8343002654 2.6075564637 2.33539620857 364.247168829 274.182421027 
1340.0 1100.0 0.0 -62.6919066678 -60.9072599795 2.54045071182 2.3430545318 351.391519533 275.63744303 
1320.0 1100.0 0.0 -62.1436676435 -61.0513218258 2.47769777574 2.35826803678 339.228536535 278.524684723 
1300.0 1100.0 0.0 -61.6200061567 -61.2629481579 2.41953302141 2.38083965264 327.835324515 282.800282885 
1280.0 1100.0 0.0 -61.1262059283 -61.5372409749 2.36622454266 2.41049508856 317.29481559 288.402496522 
1260.0 1100.0 0.0 -60.6681303555 -61.8683448264 2.31806977581 2.44690414987 307.694653837 295.25582128 
1240.0 1100.0 0.0 -60.2521152491 -62.2498679462 2.27538898012 2.48970342074 299.125391767 303.275452353 
1220.0 1100.0 0.0 -59.8847819607 -62.6752668183 2.2385149868 2.5385174985 291.677904545 312.371573611 
1200.0 1100.0 0.0 -59.5727625944 -63.1381588639 2.20777898872 2.59297686194 285.440011211 322.453097365 
1180.0 1100.0 0.0 -59.3223427714 -63.6325488438 2.18349278065 2.6527314641 280.49242414 333.43065246 
1160.0 1100.0 0.0 -59.1390469549 -64.1529712942 2.16592871701 2.71745998495 276.904315604 345.218771216 
1140.0 1100.0 0.0 -59.0272126574 -64.6945616117 2.15529955006 2.78687523849 274.728957338 357.737333808 
1120.0 1100.0 0.0 -58.9896158564 -65.2530726746 2.15174094795 2.86072650049 274.0 370.912388577 
1100.0 1100.0 0.0 -59.0272126574 -65.8248538572 2.15529955006 2.93879957732 274.728957338 384.676487454 
1080.0 1100.0 0.0 -59.1390469549 -66.406806872 2.16592871701 3.02091535763 276.904315604 398.968670449 
1060.0 1100.0 0.0 -59.3223427714 -66.9963295683 2.18349278065 3.10692744928 280.49242414 413.7342142 
1040.0 1100.0 0.0 -59.5727625944 -67.5912555541 2.20777898872 3.19671935318 285.440011211 428.924235734 
1020.0 1100.0 0.0 -59.8847819607 -68.1897947658 2.2385149868 3.2902014896 291.677904545 444.495219322 
1000.0 1100.0 0.0 -60.2521152491 -68.7904780089 2.27538898012 3.38730828273 299.125391767 460.408514257 
