Measurement simulation file
Simulation was performed on Mon Jan 13 15:53:08 2020
Description: without covariance
### begin grid settings
1400.0 1100.0 0.0 1000.0 1100.0 0.0 -20.0 0.0 0.0 2.0 2 1120 1374 0 1370 1374 0 434325000.0 434620000.0 
### begin measurement data
1000.0 1200.0 0.0 -55.4878291826 -66.8034491804 0.0 0.0 211.366979446 408.871617993 
1020.0 1200.0 0.0 -54.824863047 -66.0782893762 0.0 0.0 200.688813839 390.865705838 
1040.0 1200.0 0.0 -54.2353925042 -65.3431786734 0.0 0.0 191.509790872 373.062997361 
1060.0 1200.0 0.0 -53.7419971767 -64.5983136305 0.0 0.0 184.054339802 355.494022453 
1080.0 1200.0 0.0 -53.3678503948 -63.8441599754 0.0 0.0 178.538511252 338.195209901 
1100.0 1200.0 0.0 -53.1336209062 -63.081561751 0.0 0.0 175.145653671 321.210211544 
1120.0 1200.0 0.0 -53.0537995657 -62.3118896763 0.0 0.0 174.0 304.591529757 
1140.0 1200.0 0.0 -53.1336209062 -61.5372409749 0.0 0.0 175.145653671 288.402496522 
1160.0 1200.0 0.0 -53.3678503948 -60.7607047208 0.0 0.0 178.538511252 272.719636257 
1180.0 1200.0 0.0 -53.7419971767 -59.9867064305 0.0 0.0 184.054339802 257.635401294 
1200.0 1200.0 0.0 -54.2353925042 -59.2214400328 0.0 0.0 191.509790872 243.261176516 
1220.0 1200.0 0.0 -54.824863047 -58.4733789086 0.0 0.0 200.688813839 229.730276629 
1240.0 1200.0 0.0 -55.4878291826 -57.7538218593 0.0 0.0 211.366979446 217.200368324 
1260.0 1200.0 0.0 -56.2042678867 -57.0773648933 0.0 0.0 223.329353198 205.854317419 
1280.0 1200.0 0.0 -56.9575671689 -56.4620923188 0.0 0.0 236.38104831 195.897932608 
1300.0 1200.0 0.0 -57.7345938908 -55.929172495 0.0 0.0 250.35175254 187.552659272 
1320.0 1200.0 0.0 -58.5253301219 -55.5014978809 0.0 0.0 265.096208951 181.041431722 
1340.0 1200.0 0.0 -59.3223427714 -55.2011559512 0.0 0.0 280.49242414 176.567267635 
1360.0 1200.0 0.0 -60.1202424481 -55.0459659038 0.0 0.0 296.438863849 174.287119432 
1380.0 1200.0 0.0 -60.9152050712 -55.0459659038 0.0 0.0 312.851402426 174.287119432 
1400.0 1200.0 0.0 -61.7045799568 -55.2011559512 0.0 0.0 329.660431353 176.567267635 
1400.0 1200.0 0.0 -61.7045799568 -55.2011559512 0.0 0.0 329.660431353 176.567267635 
1400.0 1180.0 0.0 -62.2078723634 -56.4877282345 0.0 0.0 340.640573039 196.305883763 
1400.0 1160.0 0.0 -62.7375334269 -57.6888602332 0.0 0.0 352.414528645 216.092572755 
1400.0 1140.0 0.0 -63.2888580103 -58.8188521652 0.0 0.0 364.90546721 235.915239016 
1400.0 1120.0 0.0 -63.8577177631 -59.8887530916 0.0 0.0 378.042325673 255.765517613 
1400.0 1100.0 0.0 -64.440543825 -60.9072599795 0.0 0.0 391.760130692 275.63744303 
1400.0 1100.0 0.0 -64.440543825 -60.9072599795 0.0 0.0 391.760130692 275.63744303 
1380.0 1100.0 0.0 -63.8440933986 -60.8343002654 0.0 0.0 377.724767523 274.182421027 
1360.0 1100.0 0.0 -63.2600623806 -60.8343002654 0.0 0.0 364.247168829 274.182421027 
1340.0 1100.0 0.0 -62.6919066678 -60.9072599795 0.0 0.0 351.391519533 275.63744303 
1320.0 1100.0 0.0 -62.1436676435 -61.0513218258 0.0 0.0 339.228536535 278.524684723 
1300.0 1100.0 0.0 -61.6200061567 -61.2629481579 0.0 0.0 327.835324515 282.800282885 
1280.0 1100.0 0.0 -61.1262059283 -61.5372409749 0.0 0.0 317.29481559 288.402496522 
1260.0 1100.0 0.0 -60.6681303555 -61.8683448264 0.0 0.0 307.694653837 295.25582128 
1240.0 1100.0 0.0 -60.2521152491 -62.2498679462 0.0 0.0 299.125391767 303.275452353 
1220.0 1100.0 0.0 -59.8847819607 -62.6752668183 0.0 0.0 291.677904545 312.371573611 
1200.0 1100.0 0.0 -59.5727625944 -63.1381588639 0.0 0.0 285.440011211 322.453097365 
1180.0 1100.0 0.0 -59.3223427714 -63.6325488438 0.0 0.0 280.49242414 333.43065246 
1160.0 1100.0 0.0 -59.1390469549 -64.1529712942 0.0 0.0 276.904315604 345.218771216 
1140.0 1100.0 0.0 -59.0272126574 -64.6945616117 0.0 0.0 274.728957338 357.737333808 
1120.0 1100.0 0.0 -58.9896158564 -65.2530726746 0.0 0.0 274.0 370.912388577 
1100.0 1100.0 0.0 -59.0272126574 -65.8248538572 0.0 0.0 274.728957338 384.676487454 
1080.0 1100.0 0.0 -59.1390469549 -66.406806872 0.0 0.0 276.904315604 398.968670449 
1060.0 1100.0 0.0 -59.3223427714 -66.9963295683 0.0 0.0 280.49242414 413.7342142 
1040.0 1100.0 0.0 -59.5727625944 -67.5912555541 0.0 0.0 285.440011211 428.924235734 
1020.0 1100.0 0.0 -59.8847819607 -68.1897947658 0.0 0.0 291.677904545 444.495219322 
1000.0 1100.0 0.0 -60.2521152491 -68.7904780089 0.0 0.0 299.125391767 460.408514257 
