Measurement simulation file
Simulation was performed on Mon Jan 13 18:02:52 2020
Description: k
### begin grid settings
1400.0 1100.0 0.0 1000.0 1100.0 0.0 -20.0 0.0 0.0 2.0 2 1120 1374 0 1370 1374 0 434325000.0 434620000.0 
### begin measurement data
1000.0 1200.0 5.0 -55.4919224177 -66.8048077358 1.87379658471 3.08728448724 211.426110024 408.902188793 
1020.0 1200.0 5.0 -54.8292842672 -66.0797352558 1.82268662304 2.9829009304 200.751089661 390.897684823 
1040.0 1200.0 5.0 -54.24013759 -65.344722289 1.77875913653 2.88139665817 191.575050568 373.096502262 
1060.0 1200.0 5.0 -53.7470394076 -64.5999669551 1.74305177525 2.78277949707 184.122242002 355.52918305 
1080.0 1200.0 5.0 -53.3731353339 -63.8459367734 1.71660074851 2.6870823579 178.608510436 338.232168784 
1100.0 1200.0 5.0 -53.1390659793 -63.0834778148 1.70031052373 2.59436978739 175.217008307 321.249124512 
1120.0 1200.0 5.0 -53.0593007156 -62.3139630464 1.69480580276 2.50474641742 174.071824257 304.632565561 
1140.0 1200.0 5.0 -53.1390659793 -61.5394920959 1.70031052373 2.41836776701 175.217008307 288.44583547 
1160.0 1200.0 5.0 -53.3731353339 -60.7631564565 1.71660074851 2.3354538495 178.608510436 272.765467022 
1180.0 1200.0 5.0 -53.7470394076 -59.989383807 1.74305177525 2.25630589943 184.122242002 257.683914904 
1200.0 1200.0 5.0 -54.24013759 -59.2243695109 1.77875913653 2.18132611951 191.575050568 243.312556191 
1220.0 1200.0 5.0 -54.8292842672 -58.4765869 1.82268662304 2.11103942688 200.751089661 229.784681822 
1240.0 1200.0 5.0 -55.4919224177 -57.7573321317 1.87379658471 2.04611443586 211.426110024 217.257911248 
1260.0 1200.0 5.0 -56.2080448135 -57.0811945193 1.93113886851 1.98737805889 223.385317333 205.91503102 
1280.0 1200.0 5.0 -56.9610489198 -56.4662460521 1.99389651494 1.93581421259 236.433923116 195.961730958 
1300.0 1200.0 5.0 -57.7378061548 -55.9336360637 2.06139847719 1.8925333402 250.401677311 187.619295383 
1320.0 1200.0 5.0 -58.5282998195 -55.5062317312 2.13311226464 1.85869893122 265.14335745 181.11046353 
1340.0 1200.0 5.0 -59.325096035 -55.2060921081 2.20862697768 1.83540489023 280.536985084 176.638047996 
1360.0 1200.0 5.0 -60.1228035401 -55.0510108744 2.28763350028 1.82351691136 296.481028061 174.358825415 
1380.0 1200.0 5.0 -60.9175959106 -55.0510108744 2.36990550986 1.82351691136 312.891354946 174.358825415 
1400.0 1200.0 5.0 -61.7068200125 -55.2060921081 2.45528290536 1.83540489023 329.698346978 176.638047996 
1400.0 1200.0 5.0 -61.7068200125 -55.2060921081 2.45528290536 1.83540489023 329.698346978 176.638047996 
1400.0 1180.0 5.0 -62.210024724 -56.4918677704 2.5117160991 1.93792817124 340.677266632 196.369549574 
1400.0 1160.0 5.0 -62.7395999081 -57.6923996203 2.57284866565 2.04037861784 352.449996453 216.150410594 
1400.0 1140.0 5.0 -63.290841498 -58.8219273007 2.63844138585 2.14313863098 364.93972105 235.968218199 
1400.0 1120.0 5.0 -63.8596218703 -59.8914610412 2.70828656048 2.24652997273 378.075389307 255.814385835 
1400.0 1100.0 5.0 -64.4423726111 -60.9096719862 2.78220812363 2.35082830709 391.792036673 275.682788726 
1400.0 1100.0 5.0 -64.4423726111 -60.9096719862 2.78220812363 2.35082830709 391.792036673 275.682788726 
1380.0 1100.0 5.0 -63.845999337 -60.8367319372 2.70658745264 2.34315872691 377.757858952 274.228007322 
1360.0 1100.0 5.0 -63.2620500506 -60.8367319372 2.63496494965 2.34315872691 364.281484569 274.228007322 
1340.0 1100.0 5.0 -62.693980302 -60.9096719862 2.56751075174 2.35082830709 351.427090589 275.682788726 
1320.0 1100.0 5.0 -62.1458308502 -61.0536956507 2.50442822198 2.36606415986 339.265382849 278.569560433 
1300.0 1100.0 5.0 -61.6222615685 -61.2652674141 2.44595465389 2.38866889412 327.873451197 282.844480236 
1280.0 1100.0 5.0 -61.128554781 -61.5394920959 2.39236027774 2.41836776701 317.334208682 288.44583547 
1260.0 1100.0 5.0 -60.6705720136 -61.8705174145 2.34394484977 2.45483002929 307.735275846 295.298154413 
1240.0 1100.0 5.0 -60.2546467121 -62.2519547951 2.3010310848 2.49769164071 299.167177344 303.316666209 
1220.0 1100.0 5.0 -59.8873974107 -62.6772636803 2.26395433137 2.54657653653 291.720756889 312.411587493 
1200.0 1100.0 5.0 -59.5754530656 -63.1400640515 2.23304825997 2.60111452478 285.483799891 322.491860362 
1180.0 1100.0 5.0 -59.325096035 -63.6343627532 2.20862697768 2.66095490273 280.536985084 333.468139408 
1160.0 1100.0 5.0 -59.1418477019 -64.1546959217 2.1909648452 2.72577572744 276.949453872 345.254978241 
1140.0 1100.0 5.0 -59.030043028 -64.6962001082 2.1802761742 2.79528923476 274.774452961 357.77227394 
1120.0 1100.0 5.0 -58.9924562992 -65.2546289643 2.17669762401 2.86924417404 274.045616641 370.946087727 
1100.0 1100.0 5.0 -59.030043028 -65.826332328 2.1802761742 2.94742587973 274.774452961 384.708980919 
1080.0 1100.0 5.0 -59.1418477019 -66.4082121365 2.1909648452 3.02965482284 276.949453872 399.0 
1060.0 1100.0 5.0 -59.325096035 -66.9976662858 2.20862697768 3.11578424557 280.536985084 413.76442573 
1040.0 1100.0 5.0 -59.5754530656 -67.5925283048 2.23304825997 3.20569733154 285.483799891 428.95337742 
1020.0 1100.0 5.0 -59.8873974107 -68.1910079658 2.26395433137 3.29930422788 291.720756889 444.52334022 
1000.0 1100.0 5.0 -60.2546467121 -68.7916358561 2.3010310848 3.39653912523 299.167177344 460.435663258 
